node,category,title,lean_file,tex_node,primary_declaration,source,dependencies
mod:prelude,Project overview,Project prelude and frozen notation,LanglandsFirstMainLemma/Prelude.lean,blueprint/src/nodes/Prelude.tex,LanglandsFirstMainLemma.blueprintScaffoldVersion,Project design; authoritative manuscript references/epsilon_FML.tex.,
mod:basic-characteristicconvention,Basic APIs,Characteristic convention,LanglandsFirstMainLemma/Basic/CharacteristicConvention.lean,blueprint/src/nodes/Basic/CharacteristicConvention.tex,LanglandsFirstMainLemma.characteristicConvention,"Remark rem:characteristic-convention and Introduction, subsection Equal characteristic.",mod:prelude
mod:basic-phase,Basic APIs,Total complex phase,LanglandsFirstMainLemma/Basic/Phase.lean,blueprint/src/nodes/Basic/Phase.tex,LanglandsFirstMainLemma.phase,"Local notation, subsection Definition of Delta.",mod:prelude
mod:basic-finiteproducts,Basic APIs,Finite products and prime-field sums,LanglandsFirstMainLemma/Basic/FiniteProducts.lean,blueprint/src/nodes/Basic/FiniteProducts.tex,LanglandsFirstMainLemma.sum_primeField,"Theorems thm:HD-product, lem:affine-pencil, prop:odd-phase-cancel, and prop:X-closed.",mod:prelude
mod:basic-charactertypes,Basic APIs,Character wrappers,LanglandsFirstMainLemma/Basic/CharacterTypes.lean,blueprint/src/nodes/Basic/CharacterTypes.tex,LanglandsFirstMainLemma.ContinuousAddChar,"Local notation, subsections Local fields, ideals, and characters and Norm and trace notation.",mod:basic-phase
mod:basic-characterconductors,Basic APIs,Exact conductor data,LanglandsFirstMainLemma/Basic/CharacterConductors.lean,blueprint/src/nodes/Basic/CharacterConductors.tex,LanglandsFirstMainLemma.LocalAddCharData,Definitions Multiplicative conductor and Additive conductor; Corollary cor:additive-conductor; Proposition prop:pullback-conductor.,mod:basic-charactertypes;mod:localfield-unitfiltration
mod:basic-characterconductorexistence,Basic APIs,Existence of exact character conductors,LanglandsFirstMainLemma/Basic/CharacterConductorExistence.lean,blueprint/src/nodes/Basic/CharacterConductorExistence.tex,LanglandsFirstMainLemma.characterConductorExistence,"Definitions Multiplicative conductor and Additive conductor; local notation, subsection Local fields, ideals, and characters.",mod:basic-characterconductors;mod:localfield-lattices;mod:localfield-unitfiltration
mod:basic-standardcharacterbridge,Basic APIs,Bridge from standard continuous characters,LanglandsFirstMainLemma/Basic/StandardCharacterBridge.lean,blueprint/src/nodes/Basic/StandardCharacterBridge.tex,LanglandsFirstMainLemma.continuousAddChar_toData,"Local notation, subsection Local fields, ideals, and characters; final export contract.",mod:basic-characterconductors;mod:localfield-extension
mod:localfield-valuation,Local-field infrastructure,Normalized integer-valued order,LanglandsFirstMainLemma/LocalField/Valuation.lean,blueprint/src/nodes/LocalField/Valuation.tex,LanglandsFirstMainLemma.ord,"Local notation, subsection Local fields, ideals, and characters.",mod:prelude
mod:localfield-lattices,Local-field infrastructure,Valuation lattices,LanglandsFirstMainLemma/LocalField/Lattices.lean,blueprint/src/nodes/LocalField/Lattices.tex,LanglandsFirstMainLemma.lattice,Local notation and all ideal-valued statements in Sections Ramification through The non-stable wild calculation.,mod:localfield-valuation
mod:localfield-unitfiltration,Local-field infrastructure,Unit filtration,LanglandsFirstMainLemma/LocalField/UnitFiltration.lean,blueprint/src/nodes/LocalField/UnitFiltration.tex,LanglandsFirstMainLemma.unitFiltration,Local notation; Theorem thm:norm-filtration.,mod:localfield-lattices
